com.samsung.shealth.activity.goal,6261011,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2017-11-06 02:01:35.178,2017-11-06 02:01:35.178,30,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1509933695178,79a428c2-4489-412b-afe7-f36aef45fb28,
2020-03-09 04:00:00.706,2020-03-09 04:00:00.706,60,UTC-0400,cfxbbbfj2r,com.sec.android.app.shealth,1583726400703,95e42a3e-5394-4000-9860-01813c2289c1,
2017-11-06 02:01:54.142,2017-11-06 02:01:54.142,30,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1509933714142,ac4ef74c-680f-4a95-8261-1d0058b150d8,
2017-11-02 19:30:38.132,2017-11-02 19:30:38.132,30,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1509651038132,aa07e4d3-bd88-4a7a-9f11-41d022e2c15c,
2020-11-01 11:17:40.558,2020-11-01 11:17:40.558,60,UTC-0500,KwIsSebkfa,com.sec.android.app.shealth,1604229460557,32811e2f-3d89-445f-9149-369b8f69405a,
2017-10-01 18:04:16.914,2017-10-01 18:04:16.914,30,UTC-0400,EHdtKydEi4,com.sec.android.app.shealth,1506881056904,94f67e43-505f-4f39-9c91-6c48308b2460,
2017-11-13 02:52:46.200,2017-11-13 02:52:46.200,30,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1510541566200,de75c31c-a5bc-41e1-86c5-6d0bed17ffc7,
2019-06-30 16:45:22.367,2019-06-30 16:45:22.367,30,UTC-0500,4V/TlqPcbG,com.sec.android.app.shealth,1561913122349,b18a83ce-9616-4197-9dff-271b98f2178c,
2017-11-02 19:30:35.322,2017-11-02 19:30:35.322,30,UTC-0400,EHdtKydEi4,com.sec.android.app.shealth,1509651035321,c95bcc5f-f9a1-4411-b7dc-64dd34768541,
2017-11-06 02:01:58.153,2017-11-06 02:01:58.153,30,UTC-0600,EHdtKydEi4,com.sec.android.app.shealth,1509933718152,be9e5130-6e72-418b-b44c-8a79185bde01,
2019-08-21 16:20:11.503,2019-08-21 16:20:11.503,60,UTC-0400,cfxbbbfj2r,com.sec.android.app.shealth,1566404411501,ac63ba37-a0ab-4497-ad48-43ff37ec2875,
2017-11-02 19:25:57.187,2017-11-02 19:25:57.187,30,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1509650757184,1d413643-54b0-4653-bfad-d270ee5e6b51,
2017-11-13 02:42:52.255,2017-11-13 02:42:52.255,30,UTC+0000,EHdtKydEi4,com.sec.android.app.shealth,1510540972255,5bdf2f48-5185-4995-9592-832e4e336bf9,
2017-11-06 02:01:46.202,2017-11-06 02:01:46.202,30,UTC-0600,EHdtKydEi4,com.sec.android.app.shealth,1509933706201,fb941144-aa0b-4bb0-82f8-4a4bf01c79eb,
2017-11-02 19:27:56.298,2017-11-02 19:27:56.298,30,UTC-0400,EHdtKydEi4,com.sec.android.app.shealth,1509650876296,09dd2e29-81d7-41a7-a94c-4aefad3297aa,
2017-11-12 23:03:47.247,2017-11-12 23:03:47.247,30,UTC+0000,EHdtKydEi4,com.sec.android.app.shealth,1510527827245,b5c8ea24-df3c-473d-97fc-c0dde9206136,
2018-11-05 05:00:00.542,2018-11-05 05:00:00.542,30,UTC-0500,Mz5pMh3q+T,com.sec.android.app.shealth,1541394000537,716df891-7211-4085-bf6e-50795f4248b2,
2019-12-26 00:26:04.558,2019-12-26 00:26:04.558,60,UTC-0600,cfxbbbfj2r,com.sec.android.app.shealth,1577319964554,ac5587d1-7db7-4566-996a-09f6719bf2df,
2017-11-02 19:26:54.263,2017-11-02 19:26:54.263,30,UTC-0400,EHdtKydEi4,com.sec.android.app.shealth,1509650814259,705a9c58-7162-4821-a2a8-8d58628183f7,
2019-03-10 14:03:13.455,2019-03-10 14:03:13.455,30,UTC-0400,4V/TlqPcbG,com.sec.android.app.shealth,1552226593452,42392f2b-e8fd-4be9-9457-7835470b9ea5,
2019-06-02 20:30:36.187,2019-06-02 20:30:36.187,30,UTC-0500,4V/TlqPcbG,com.sec.android.app.shealth,1559507436186,dbad43c8-6a09-495e-896b-b38dc19e3b92,
2017-11-13 02:52:46.133,2017-11-13 02:52:46.133,30,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1510541566132,d28a0c63-afb4-4cd5-a5e0-5dab4b26ddd4,
2017-11-13 02:42:52.209,2017-11-13 02:42:52.209,30,UTC+0000,EHdtKydEi4,com.sec.android.app.shealth,1510540972208,ec7b328d-2bac-4cd3-a912-65177d96b050,
2020-10-16 23:26:05.962,2020-10-16 23:26:05.962,60,UTC-0400,KwIsSebkfa,com.sec.android.app.shealth,1602890765958,af8229e7-0fb9-426c-9a6a-2591230df1ed,
2017-11-13 00:52:54.336,2017-11-13 00:52:54.336,30,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1510534374335,f84d597b-f8d7-434f-85c7-247c83c10aa0,
2018-09-17 16:01:42.152,2018-09-17 16:01:42.152,30,UTC-0400,Mz5pMh3q+T,com.sec.android.app.shealth,1537200102148,3e4b10a8-5f7d-4c72-aa87-6173a41ec9a2,
2020-03-11 15:38:44.442,2020-03-11 15:38:44.442,60,UTC-0400,cfxbbbfj2r,com.sec.android.app.shealth,1583941124424,07156d40-daa0-40a3-910e-9fd9bf62686c,
2020-01-03 01:09:00.258,2020-01-03 01:09:00.258,60,UTC-0500,cfxbbbfj2r,com.sec.android.app.shealth,1578013740256,743acbee-954b-4acd-a89c-af1a4ed20b46,
2020-04-23 20:22:00.994,2020-04-23 20:22:00.994,75,UTC-0400,cfxbbbfj2r,com.sec.android.app.shealth,1587673320987,1d95628a-fa86-4fea-ab93-99c423b50865,
2017-11-06 02:00:16.183,2017-11-06 02:00:16.183,30,UTC-0600,EHdtKydEi4,com.sec.android.app.shealth,1509933616182,8e3b661b-1e66-459f-82b0-dd2411b7f3f0,
2020-10-16 23:26:06.599,2020-10-16 23:26:06.599,60,UTC-0400,KwIsSebkfa,com.sec.android.app.shealth,1602890766592,b0dfedec-3b44-4dcd-9b0f-1bbf81a1a964,
2021-03-14 13:36:47.919,2021-03-14 13:36:47.919,60,UTC-0400,KwIsSebkfa,com.sec.android.app.shealth,1615729007910,4c6ca62b-4730-4c39-b657-35655b1691ef,
2017-11-13 00:52:54.387,2017-11-13 00:52:54.387,30,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1510534374386,649d201f-3ec8-481f-8b41-7af189c9473a,
2019-07-01 00:59:38.248,2019-07-01 00:59:38.248,30,UTC-0400,4V/TlqPcbG,com.sec.android.app.shealth,1561942778242,6a70ae73-2297-4cc7-b2ab-56982e7b1e80,
2019-06-03 13:17:38.604,2019-06-03 13:17:38.604,30,UTC+0300,4V/TlqPcbG,com.sec.android.app.shealth,1559567858603,0099150b-0012-49bf-848b-0f672c980870,
2019-11-04 05:00:43.652,2019-11-04 05:00:43.652,60,UTC-0500,cfxbbbfj2r,com.sec.android.app.shealth,1572843643651,47774b04-49f7-4466-8ff9-520112265515,
2017-11-02 19:27:59.245,2017-11-02 19:27:59.245,30,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1509650879244,24b25372-1593-43ab-a0b4-2116dbd56933,
2017-11-02 19:27:37.258,2017-11-02 19:27:37.258,30,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1509650857256,a29bb509-1d22-42af-80a4-96095bf087a1,
2017-11-06 02:02:55.158,2017-11-06 02:02:55.158,30,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1509933775157,af4ddfcd-3878-48db-ad36-fe56031ecd5b,
2019-03-06 18:41:25.063,2019-03-06 18:41:25.063,30,UTC-0500,4V/TlqPcbG,com.sec.android.app.shealth,1551897685043,023ebd63-8550-4ab7-8c62-19b42200dbb4,
